scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,12,800,0.005896615558937614,0.02,0.013001949881086262,1.1001270459004773,0.35042908806411976,0.02800178806639787,0.12000123305734584
1,1,13,100,0.021482724343798883,0.02,0.0,1.0670102490177966,0.4122956298858796,0.03316052578911884,0.11169684509365374
1,1,13,150,0.030975656816884994,0.02,0.0005860848974574537,1.0564336473112794,0.41977829516075676,0.03323314348302118,0.11286314928106238
1,1,13,200,0.01730460406927089,0.02,0.003081623740856912,1.0631805821719431,0.3647279318352571,0.028654114648100745,0.14839435922553115
1,1,13,250,0.020772960045784224,0.02,0.0,1.0303436367385028,0.3579045561439012,0.029918467341077098,0.11259516996350455
1,1,13,300,0.020912354608471087,0.02,0.0,1.0473129942283903,0.4084446348050774,0.030519605492261823,0.10600178626432598
1,1,13,350,0.020967768808582775,0.02,0.0,1.054763991607728,0.39099771643657866,0.03510408421613548,0.10427123417323964
1,1,13,400,0.020771499606044172,0.02,0.0,1.038490160954831,0.4310577509602014,0.03106149848411945,0.1167486069951714
1,1,13,450,0.020262795282485188,0.02,0.0,1.0055242263005277,0.447252650417995,0.041369045962308136,0.09983137709180076
1,1,13,500,0.02202923691619744,0.02,0.0,1.102134266044336,0.41631211698619336,0.030399624300090453,0.09921392506108652
1,1,13,550,0.038820384306479244,0.02,0.0005864180620247907,1.0738771620437588,0.4220147703481419,0.03441578263785807,0.10986086769920787
1,1,13,600,0.0154079469445043,0.02,0.0030819560735116055,1.0886637829827015,0.38530585287778896,0.03219634642832225,0.10961863834657329
1,1,13,650,0.022681773156348093,0.02,0.0,1.1293311659365788,0.2740549175553881,0.032486516060343626,0.15365572436984715
1,1,13,700,0.005830232873227901,0.02,0.008054353563761992,1.1213407938325006,0.3245548218561907,0.03448939999574862,0.1266973099669803
1,1,13,750,0.008293080213346373,0.02,0.030124684833567245,1.1307979461978372,0.4279409562328867,0.03304594602326327,0.11233544437129014
1,1,13,800,0.015200413011990268,0.02,0.41321954995737803,1.0884721902599381,0.5693427101185923,0.03474410886686384,0.1007954941173208
1,1,14,100,0.020422486558631072,0.02,0.0,1.008750554170111,0.5104223539619611,0.03647899430793367,0.11429435744412739
1,1,14,150,0.019576604637814785,0.02,0.0,0.9691896693223624,0.5580411667935937,0.029283080678489358,0.1047998963451935
1,1,14,200,0.019464007411282708,0.02,0.0,0.9747592533455597,0.5704249139162157,0.028591101621371524,0.09805164956323084
1,1,14,250,0.019913885752819004,0.02,0.0,0.99768468099398,0.5669862943195192,0.0325788251011714,0.10709152559058398
1,1,14,300,0.020425099693880584,0.02,0.0,1.0156547310395856,0.5497181617200405,0.030781967834926767,0.10029597569582642
1,1,14,350,0.022544220019687047,0.02,0.0,1.1264722690745612,0.4905468743897846,0.03723580789814184,0.1285935507498125
1,1,14,400,0.022656559604098552,0.02,0.0,1.129776806126199,0.4702831309963812,0.033926176914418266,0.1177228031662123
1,1,14,450,0.03252872737172966,0.02,0.0,1.1254182756242344,0.33932709884534984,0.03810838129245688,0.11758296994093069
